Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
,May 2015,$490K,0.0%,11.4%,"1,130",5.8%,10.4%,"1,379",-1.1%,-1.8%,"1,070",4.4%,-26.9%,7,0,-1,103.7%,0.3%,2.3%
,June 2015,$510K,4.1%,13.3%,"1,290",14.2%,21.2%,"1,276",-7.5%,0.2%,"1,046",-2.2%,-33.1%,8,1,0,103.8%,0.1%,2.3%
,July 2015,$506K,-0.8%,11.2%,"1,292",0.2%,23.4%,"1,193",-6.5%,-2.5%,"1,048",0.2%,-39.1%,8,0,-1,103.3%,-0.5%,2.4%
,August 2015,$540K,6.8%,29.2%,"1,122",-13.2%,12.8%,"1,132",-5.1%,13.9%,"1,099",4.9%,-32.6%,9,1,-3,102.8%,-0.4%,2.3%
,September 2015,$494K,-8.6%,9.7%,"1,024",-8.7%,9.9%,"1,185",4.7%,1.1%,"1,160",5.6%,-31.9%,8,-1,-6,102.4%,-0.5%,2.2%
,October 2015,$483K,-2.1%,7.3%,"1,024",0.0%,1.2%,948,-20.0%,-3.0%,"1,079",-7.0%,-29.8%,8,0,-7,102.2%,-0.1%,2.2%
,November 2015,$514K,6.5%,17.3%,742,-27.5%,-6.4%,607,-36.0%,3.2%,804,-25.5%,-35.7%,10,2,-10,102.0%,-0.2%,2.3%
,December 2015,$525K,2.1%,19.4%,888,19.7%,9.4%,395,-34.9%,6.8%,630,-21.6%,-35.8%,12,2,-11,101.3%,-0.6%,1.8%
,January 2016,$525K,-0.1%,14.3%,517,-41.8%,1.0%,758,91.9%,0.9%,718,14.0%,-22.3%,12,0,-14,101.4%,0.1%,1.4%
,February 2016,$510K,-2.9%,15.9%,687,32.9%,10.8%,892,17.7%,3.6%,752,4.7%,-20.2%,8,-4,-6,103.3%,1.9%,2.7%
,March 2016,$540K,5.9%,18.7%,919,33.8%,5.4%,"1,243",39.3%,-0.3%,811,7.8%,-21.0%,8,0,0,104.8%,1.5%,2.5%
,April 2016,$550K,1.9%,12.2%,"1,036",12.7%,-3.0%,"1,340",7.8%,-3.9%,977,20.5%,-4.7%,8,0,1,105.5%,0.6%,2.0%
,May 2016,$564K,2.5%,15.1%,"1,108",6.9%,-1.9%,"1,360",1.5%,-1.4%,947,-3.1%,-11.5%,8,0,1,105.5%,0.0%,1.8%
,June 2016,$575K,2.0%,12.7%,"1,423",28.4%,10.3%,"1,368",0.6%,7.2%,999,5.5%,-4.5%,8,0,0,104.5%,-1.0%,0.7%
,July 2016,$580K,0.9%,14.7%,"1,232",-13.4%,-4.6%,"1,315",-3.9%,10.2%,"1,145",14.6%,9.3%,8,0,0,103.5%,-1.0%,0.2%
,August 2016,$584K,0.6%,8.1%,"1,300",5.5%,15.9%,"1,205",-8.4%,6.4%,"1,119",-2.3%,1.8%,9,1,0,102.7%,-0.8%,-0.1%
,September 2016,$575K,-1.5%,16.5%,"1,159",-10.8%,13.2%,"1,369",13.6%,15.5%,"1,321",18.1%,13.9%,9,0,1,102.0%,-0.7%,-0.3%
,October 2016,$570K,-0.9%,18.0%,"1,079",-6.9%,5.4%,921,-32.7%,-2.8%,"1,053",-20.3%,-2.4%,9,0,1,102.1%,0.1%,-0.1%
,November 2016,$568K,-0.3%,10.5%,"1,021",-5.4%,37.6%,616,-33.1%,1.5%,760,-27.8%,-5.5%,12,3,2,101.6%,-0.5%,-0.4%
,December 2016,$580K,2.1%,10.4%,900,-11.9%,1.4%,407,-33.9%,3.0%,541,-28.8%,-14.1%,13,1,1,101.3%,-0.4%,-0.1%
,January 2017,$580K,0.0%,10.5%,639,-29.0%,23.6%,727,78.6%,-4.1%,559,3.3%,-22.1%,16,3,4,102.0%,0.8%,0.6%
,February 2017,$600K,3.4%,17.6%,635,-0.6%,-7.6%,789,8.5%,-11.5%,536,-4.1%,-28.7%,8,-8,0,103.9%,1.9%,0.6%
,March 2017,$630K,5.0%,16.7%,976,53.7%,6.2%,"1,212",53.6%,-2.5%,627,17.0%,-22.7%,8,0,0,105.8%,1.9%,0.9%
,April 2017,$645K,2.4%,17.3%,920,-5.7%,-11.2%,"1,150",-5.1%,-14.2%,691,10.2%,-29.3%,7,-1,-1,107.2%,1.4%,1.7%
,May 2017,$640K,-0.8%,13.5%,"1,197",30.1%,8.0%,"1,408",22.4%,3.5%,752,8.8%,-20.6%,7,0,-1,107.8%,0.6%,2.3%
,June 2017,$680K,6.3%,18.3%,"1,281",7.0%,-10.0%,"1,405",-0.2%,2.7%,823,9.4%,-17.6%,7,0,-1,107.3%,-0.6%,2.8%
,July 2017,$680K,0.0%,17.2%,"1,147",-10.5%,-6.9%,"1,220",-13.2%,-7.2%,906,10.1%,-20.9%,8,1,0,105.6%,-1.7%,2.1%
,August 2017,$667K,-2.0%,14.2%,"1,228",7.1%,-5.5%,"1,139",-6.6%,-5.5%,832,-8.2%,-25.6%,8,0,-1,105.2%,-0.4%,2.5%
,September 2017,$665K,-0.2%,15.7%,"1,026",-16.4%,-11.5%,"1,297",13.9%,-5.3%,"1,021",22.7%,-22.7%,8,0,-1,104.2%,-1.0%,2.2%
,October 2017,$655K,-1.5%,14.9%,"1,074",4.7%,-0.5%,"1,021",-21.3%,10.9%,912,-10.7%,-13.4%,8,0,-1,104.0%,-0.2%,1.9%
,November 2017,$675K,3.1%,18.8%,995,-7.4%,-2.5%,699,-31.5%,13.5%,638,-30.0%,-16.1%,8,0,-4,102.9%,-1.1%,1.3%
,December 2017,$667K,-1.2%,15.0%,859,-13.7%,-4.6%,359,-48.6%,-11.8%,394,-38.2%,-27.2%,10,2,-3,102.6%,-0.3%,1.3%
,January 2018,$700K,5.0%,20.7%,547,-36.3%,-14.4%,749,108.6%,3.0%,485,23.1%,-13.2%,12,2,-4,102.5%,-0.1%,0.5%
,February 2018,$699K,-0.1%,16.5%,636,16.3%,0.2%,803,7.2%,1.8%,514,6.0%,-4.1%,7,-5,-1,107.6%,5.0%,3.6%
,March 2018,$710K,1.5%,12.7%,891,40.1%,-8.7%,"1,227",52.8%,1.2%,653,27.0%,4.1%,7,0,-1,106.2%,-1.3%,0.4%
,April 2018,$740K,4.2%,14.7%,992,11.3%,7.8%,"1,216",-0.9%,5.7%,818,25.3%,18.4%,7,0,0,106.6%,0.4%,-0.6%
,May 2018,$749K,1.2%,17.0%,"1,134",14.3%,-5.3%,"1,488",22.4%,5.7%,"1,048",28.1%,39.4%,7,0,0,106.3%,-0.3%,-1.5%
,June 2018,$725K,-3.2%,6.6%,"1,108",-2.3%,-13.5%,"1,484",-0.3%,5.6%,"1,342",28.1%,63.1%,8,1,1,103.9%,-2.4%,-3.3%
,July 2018,$722K,-0.4%,6.2%,"1,063",-4.1%,-7.3%,"1,227",-17.3%,0.6%,"1,480",10.3%,63.4%,9,1,1,102.1%,-1.9%,-3.6%
,August 2018,$675K,-6.5%,1.3%,976,-8.2%,-20.5%,"1,120",-8.7%,-1.7%,"1,637",10.6%,96.8%,12,3,4,100.5%,-1.5%,-4.7%
,September 2018,$699K,3.6%,5.2%,706,-27.7%,-31.2%,"1,440",28.6%,11.0%,"2,112",29.0%,106.9%,16,4,8,99.4%,-1.1%,-4.8%
,October 2018,$699K,-0.1%,6.8%,845,19.7%,-21.3%,"1,047",-27.3%,2.5%,"2,039",-3.5%,123.6%,14,-2,6,99.1%,-0.4%,-5.0%
,November 2018,$680K,-2.7%,0.7%,746,-11.7%,-25.0%,679,-35.1%,-2.9%,"1,755",-13.9%,175.1%,25,11,17,98.6%,-0.5%,-4.3%
,December 2018,$665K,-2.2%,-0.3%,669,-10.3%,-22.1%,265,-61.0%,-26.2%,"1,279",-27.1%,224.6%,37,12,27,98.1%,-0.5%,-4.5%
,January 2019,$634K,-4.7%,-9.4%,521,-22.1%,-4.8%,784,195.8%,4.7%,"1,244",-2.7%,156.5%,47,10,35,97.7%,-0.4%,-4.8%
,February 2019,$669K,5.5%,-4.3%,685,31.5%,7.7%,793,1.1%,-1.2%,"1,340",7.7%,160.7%,39,-8,32,99.0%,1.3%,-8.6%
,March 2019,$685K,2.4%,-3.5%,739,7.9%,-17.1%,"1,335",68.3%,8.8%,"1,550",15.7%,137.4%,18,-21,11,100.0%,1.0%,-6.3%
,April 2019,$700K,2.2%,-5.4%,"1,009",36.5%,1.7%,"1,443",8.1%,18.7%,"1,768",14.1%,116.1%,9,-9,2,100.8%,0.8%,-5.9%
,May 2019,$711K,1.6%,-5.1%,"1,150",14.0%,1.4%,"1,707",18.3%,14.7%,"2,155",21.9%,105.6%,10,1,3,100.3%,-0.5%,-6.0%
,June 2019,$705K,-0.8%,-2.8%,"1,067",-7.2%,-3.7%,"1,336",-21.7%,-10.0%,"2,175",0.9%,62.1%,12,2,4,100.4%,0.1%,-3.5%
,July 2019,$689K,-2.3%,-4.6%,"1,085",1.7%,2.1%,"1,088",-18.6%,-11.3%,"2,061",-5.2%,39.3%,15,3,6,100.0%,-0.4%,-2.0%
,August 2019,$676K,-2.0%,0.1%,"1,048",-3.4%,7.4%,964,-11.4%,-13.9%,"1,940",-5.9%,18.5%,23,8,11,99.2%,-0.8%,-1.3%
,September 2019,$679K,0.5%,-2.9%,823,-21.5%,16.6%,"1,201",24.6%,-16.6%,"2,054",5.9%,-2.7%,26,3,10,99.4%,0.2%,0.0%
,October 2019,$699K,2.9%,0.0%,944,14.7%,11.7%,987,-17.8%,-5.7%,"1,839",-10.5%,-9.8%,18,-8,4,99.5%,0.0%,0.4%
,November 2019,$668K,-4.5%,-1.8%,860,-8.9%,15.3%,560,-43.3%,-17.5%,"1,377",-25.1%,-21.5%,25,7,0,99.0%,-0.4%,0.5%
,December 2019,$675K,1.1%,1.5%,857,-0.3%,28.1%,335,-40.2%,26.4%,976,-29.1%,-23.7%,35,10,-2,98.7%,-0.3%,0.6%
,January 2020,$699K,3.5%,10.2%,611,-28.7%,17.3%,712,112.5%,-9.2%,843,-13.6%,-32.2%,45,10,-2,99.1%,0.3%,1.4%
,February 2020,$650K,-6.9%,-2.8%,807,32.1%,17.8%,"1,074",50.8%,35.4%,942,11.7%,-29.7%,18,-27,-21,100.6%,1.5%,1.7%
,March 2020,$708K,8.8%,3.3%,991,22.8%,34.1%,"1,312",22.2%,-1.7%,"1,169",24.1%,-24.6%,7,-11,-11,102.4%,1.7%,2.4%
,April 2020,$735K,3.9%,5.0%,737,-25.6%,-27.0%,919,-30.0%,-36.3%,"1,287",10.1%,-27.2%,6,-1,-3,101.5%,-0.8%,0.8%
,May 2020,$700K,-4.8%,-1.5%,742,0.7%,-35.5%,"1,254",36.5%,-26.5%,"1,425",10.7%,-33.9%,10,4,0,100.4%,-1.1%,0.1%
,June 2020,$742K,6.0%,5.3%,"1,020",37.5%,-4.4%,"1,452",15.8%,8.7%,"1,550",8.8%,-28.7%,8,-2,-4,101.0%,0.6%,0.5%
,July 2020,$740K,-0.3%,7.4%,"1,224",20.0%,12.8%,"1,634",12.5%,50.2%,"1,771",14.3%,-14.1%,8,0,-7,101.5%,0.6%,1.5%
,August 2020,$759K,2.6%,12.4%,"1,195",-2.4%,14.0%,"1,745",6.8%,81.0%,"2,065",16.6%,6.4%,8,0,-15,101.6%,0.1%,2.4%
,September 2020,$745K,-1.9%,9.7%,"1,301",8.9%,58.1%,"1,644",-5.8%,36.9%,"2,207",6.9%,7.4%,7,-1,-19,101.6%,0.0%,2.2%
,October 2020,$746K,0.1%,6.7%,"1,291",-0.8%,36.8%,"1,398",-15.0%,41.6%,"2,110",-4.4%,14.7%,9,2,-9,101.1%,-0.5%,1.6%
"Seattle, WA - Adams",February 2012,$348K,-0.7%,3.7%,40,-7.0%,25.0%,28,-15.2%,-37.8%,30,-3.2%,-37.5%,40,-10,-17,98.6%,0.2%,1.0%
,March 2012,$347K,-0.1%,4.4%,40,0.0%,11.1%,43,53.6%,-33.8%,25,-16.7%,-50.0%,49,10,-6,98.6%,-0.1%,0.3%
,April 2012,$325K,-6.3%,-6.7%,47,17.5%,6.8%,65,51.2%,20.4%,37,48.0%,-22.9%,46,-4,27,98.7%,0.2%,0.1%
,May 2012,$332K,2.0%,-8.4%,56,19.1%,21.7%,71,9.2%,26.8%,32,-13.5%,-37.3%,37,-9,8,99.2%,0.4%,0.7%
,June 2012,$328K,-1.1%,-2.2%,63,12.5%,61.5%,68,-4.2%,41.7%,25,-21.9%,-50.0%,16,-21,-23,99.0%,-0.2%,-0.6%
,July 2012,$370K,12.8%,15.6%,61,-3.2%,96.8%,53,-22.1%,10.4%,26,4.0%,-42.2%,15,-1,-45,98.9%,0.0%,-0.1%
,August 2012,$338K,-8.8%,4.8%,58,-4.9%,65.7%,54,1.9%,5.9%,23,-11.5%,-57.4%,15,0,-26,98.8%,-0.1%,-0.8%
,September 2012,$360K,6.7%,2.9%,60,3.4%,81.8%,54,0.0%,-3.6%,21,-8.7%,-63.8%,18,3,-19,98.9%,0.1%,0.5%
,October 2012,$307K,-14.6%,-18.0%,58,-3.3%,48.7%,57,5.6%,-12.3%,24,14.3%,-52.0%,18,0,-20,99.4%,0.5%,0.7%
,November 2012,$307K,0.0%,-15.2%,58,0.0%,61.1%,46,-19.3%,-24.6%,22,-8.3%,-50.0%,19,1,-50,99.7%,0.4%,1.8%
,December 2012,$320K,4.1%,-8.6%,45,-22.4%,-4.3%,32,-30.4%,-30.4%,17,-22.7%,-51.4%,27,8,-26,100.1%,0.3%,1.9%
,January 2013,$334K,4.4%,-4.6%,36,-20.0%,-16.3%,22,-31.3%,-33.3%,7,-58.8%,-77.4%,32,5,-18,99.6%,-0.5%,1.2%
,February 2013,$376K,12.6%,8.2%,29,-19.4%,-27.5%,30,36.4%,7.1%,12,71.4%,-60.0%,39,8,-1,98.7%,-0.9%,0.0%
,March 2013,$335K,-10.9%,-3.5%,35,20.7%,-12.5%,56,86.7%,30.2%,13,8.3%,-48.0%,37,-2,-12,100.7%,2.0%,2.2%
,April 2013,$390K,16.4%,20.0%,61,74.3%,29.8%,76,35.7%,16.9%,12,-7.7%,-67.6%,6,-31,-40,101.0%,0.2%,2.2%
,May 2013,$403K,3.4%,21.7%,79,29.5%,41.1%,96,26.3%,35.2%,22,83.3%,-31.3%,6,0,-31,100.8%,-0.1%,1.7%
,June 2013,$389K,-3.6%,18.6%,83,5.1%,31.7%,94,-2.1%,38.2%,23,4.5%,-8.0%,7,1,-9,100.5%,-0.3%,1.5%
,July 2013,$373K,-4.1%,0.8%,79,-4.8%,29.5%,97,3.2%,83.0%,29,26.1%,11.5%,7,0,-8,100.4%,-0.1%,1.5%
,August 2013,$406K,8.8%,20.3%,75,-5.1%,29.3%,79,-18.6%,46.3%,28,-3.4%,21.7%,7,0,-8,101.0%,0.6%,2.2%
,September 2013,$420K,3.4%,16.6%,73,-2.7%,21.7%,81,2.5%,50.0%,24,-14.3%,14.3%,7,0,-11,101.1%,0.0%,2.2%
,October 2013,$420K,0.0%,36.6%,73,0.0%,25.9%,75,-7.4%,31.6%,20,-16.7%,-16.7%,8,1,-11,100.9%,-0.2%,1.6%
,November 2013,$419K,-0.2%,36.3%,70,-4.1%,20.7%,69,-8.0%,50.0%,20,0.0%,-9.1%,7,-1,-12,100.0%,-0.9%,0.3%
,December 2013,$420K,0.2%,31.3%,64,-8.6%,42.2%,48,-30.4%,50.0%,17,-15.0%,0.0%,10,3,-17,99.3%,-0.7%,-0.8%
,January 2014,$431K,2.6%,29.0%,49,-23.4%,36.1%,65,35.4%,195.5%,32,88.2%,357.1%,11,1,-21,99.7%,0.4%,0.1%
,February 2014,$459K,6.5%,22.1%,49,0.0%,69.0%,73,12.3%,143.3%,28,-12.5%,133.3%,11,0,-28,100.8%,1.1%,2.1%
,March 2014,$467K,1.7%,39.3%,58,18.4%,65.7%,94,28.8%,67.9%,26,-7.1%,100.0%,11,-1,-27,100.8%,0.0%,0.1%
,April 2014,$431K,-7.8%,10.4%,74,27.6%,21.3%,67,-28.7%,-11.8%,23,-11.5%,91.7%,8,-3,2,101.2%,0.4%,0.2%
,May 2014,$425K,-1.4%,5.2%,72,-2.7%,-8.9%,72,7.5%,-25.0%,24,4.3%,9.1%,7,-1,1,101.6%,0.4%,0.8%
,June 2014,$430K,1.3%,10.5%,65,-9.7%,-21.7%,84,16.7%,-10.6%,35,45.8%,52.2%,7,0,0,102.7%,1.1%,2.2%
,July 2014,$446K,3.7%,19.5%,61,-6.2%,-22.8%,99,17.9%,2.1%,33,-5.7%,13.8%,7,0,0,102.2%,-0.5%,1.8%
,August 2014,$468K,5.0%,15.3%,64,4.9%,-14.7%,106,7.1%,34.2%,33,0.0%,17.9%,7,0,0,101.7%,-0.5%,0.6%
,September 2014,$478K,2.1%,13.8%,68,6.3%,-6.8%,85,-19.8%,4.9%,30,-9.1%,25.0%,7,0,0,101.8%,0.1%,0.7%
,October 2014,$505K,5.6%,20.2%,71,4.4%,-2.7%,72,-15.3%,-4.0%,22,-26.7%,10.0%,9,2,2,101.2%,-0.5%,0.3%
,November 2014,$513K,1.6%,22.4%,65,-8.5%,-7.1%,54,-25.0%,-21.7%,21,-4.5%,5.0%,11,2,4,100.9%,-0.3%,0.9%
,December 2014,$505K,-1.6%,20.2%,55,-15.4%,-14.1%,43,-20.4%,-10.4%,21,0.0%,23.5%,14,3,4,101.0%,0.1%,1.7%
,January 2015,$485K,-4.0%,12.5%,43,-21.8%,-12.2%,47,9.3%,-27.7%,18,-14.3%,-43.8%,11,-3,0,100.8%,-0.2%,1.1%
,February 2015,$485K,0.0%,5.7%,39,-9.3%,-20.4%,66,40.4%,-9.6%,21,16.7%,-25.0%,7,-4,-4,101.3%,0.6%,0.5%
,March 2015,$500K,3.1%,7.1%,47,20.5%,-19.0%,106,60.6%,12.8%,30,42.9%,15.4%,7,0,-4,101.9%,0.6%,1.1%
,April 2015,$474K,-5.2%,10.1%,58,23.4%,-21.6%,123,16.0%,83.6%,26,-13.3%,13.0%,6,-1,-2,103.8%,1.8%,2.6%
,May 2015,$530K,11.9%,24.9%,82,41.4%,13.9%,132,7.3%,83.3%,30,15.4%,25.0%,7,1,0,103.5%,-0.3%,1.9%
,June 2015,$527K,-0.6%,22.6%,88,7.3%,35.4%,114,-13.6%,35.7%,17,-43.3%,-51.4%,7,0,0,103.5%,0.0%,0.8%
,July 2015,$560K,6.3%,25.6%,93,5.7%,52.5%,110,-3.5%,11.1%,16,-5.9%,-51.5%,7,0,0,103.4%,0.0%,1.2%
,August 2015,$540K,-3.6%,15.4%,87,-6.5%,35.9%,93,-15.5%,-12.3%,16,0.0%,-51.5%,8,1,1,103.8%,0.4%,2.1%
,September 2015,$515K,-4.6%,7.7%,86,-1.1%,26.5%,96,3.2%,12.9%,20,25.0%,-33.3%,8,0,1,103.2%,-0.6%,1.4%
,October 2015,$428K,-17.0%,-15.3%,78,-9.3%,9.9%,90,-6.3%,25.0%,22,10.0%,0.0%,7,-1,-2,103.0%,-0.1%,1.8%
,November 2015,$430K,0.6%,-16.2%,69,-11.5%,6.2%,91,1.1%,68.5%,23,4.5%,9.5%,7,0,-4,102.6%,-0.4%,1.7%
,December 2015,$564K,31.2%,11.7%,70,1.4%,27.3%,73,-19.8%,69.8%,12,-47.8%,-42.9%,8,1,-6,102.6%,0.0%,1.6%
,January 2016,$584K,3.6%,20.5%,64,-8.6%,48.8%,79,8.2%,68.1%,19,58.3%,5.6%,9,1,-3,101.5%,-1.1%,0.8%
,February 2016,$425K,-27.3%,-12.4%,128,100.0%,228.2%,90,13.9%,36.4%,14,-26.3%,-33.3%,4,-5,-3,101.7%,0.1%,0.4%
,March 2016,$414K,-2.6%,-17.2%,162,26.6%,244.7%,117,30.0%,10.4%,17,21.4%,-43.3%,4,0,-3,101.7%,0.0%,-0.2%
,April 2016,$412K,-0.5%,-13.1%,184,13.6%,217.2%,120,2.6%,-2.4%,20,17.6%,-23.1%,5,1,-1,102.3%,0.6%,-1.5%
,May 2016,$450K,9.2%,-15.1%,139,-24.5%,69.5%,110,-8.3%,-16.7%,20,0.0%,-33.3%,7,2,0,102.5%,0.1%,-1.0%
,June 2016,$550K,22.2%,4.4%,109,-21.6%,23.9%,93,-15.5%,-18.4%,18,-10.0%,5.9%,8,1,1,102.9%,0.5%,-0.5%
,July 2016,$550K,0.0%,-1.8%,101,-7.3%,8.6%,88,-5.4%,-20.0%,23,27.8%,43.8%,8,0,1,102.7%,-0.2%,-0.7%
